sample_base,carrageenan,matrix,point_index,x_mean,y_mean,y_std,n
aMEM_10pct-Ctrl-mean,,medium,28,84.5,0.117,,1
aMEM_10pct-Ctrl-mean,,medium,29,109.0,0.0966,,1
aMEM_10pct-Ctrl-mean,,medium,30,141.0,0.0673,,1
aMEM_10pct-Ctrl-mean,,medium,31,173.0,0.0555,,1
aMEM_10pct-Ctrl-mean,,medium,32,221.0,0.0541,,1
aMEM_10pct-Ctrl-mean,,medium,33,285.0,0.044,,1
aMEM_10pct-Ctrl-mean,,medium,34,349.0,0.0354,,1
aMEM_10pct-Ctrl-mean,,medium,35,445.0,0.0342,,1
aMEM_10pct-Ctrl-mean,,medium,36,573.0,0.0269,,1
aMEM_10pct-Ctrl-mean,,medium,37,701.0,0.0243,,1
aMEM_10pct-Ctrl-mean,,medium,38,893.0,0.0255,,1
aMEM_10pct-Ctrl-mean,,medium,39,1150.0,0.0164,,1
aMEM_10pct-Ctrl-mean,,medium,40,1400.0,0.0283,,1
aMEM_10pct-L_3s,lambda,medium,1,57.68156666666667,0.2437033333333333,0.4159517655129418,3
aMEM_10pct-L_3s,lambda,medium,2,73.6848,0.23306333333333332,0.3991843103546698,3
aMEM_10pct-L_3s,lambda,medium,3,95.015,0.52244,0.46840779327419396,3
aMEM_10pct-L_3s,lambda,medium,4,116.34753333333333,0.50443,0.4598601903839905,3
aMEM_10pct-L_3s,lambda,medium,5,148.83776666666668,0.7913333333333333,0.19092494162191942,3
aMEM_10pct-L_3s,lambda,medium,6,191.67593333333332,0.7693333333333333,0.2126554333501341,3
aMEM_10pct-L_3s,lambda,medium,7,234.50343333333333,0.749,0.22894540834006696,3
aMEM_10pct-L_3s,lambda,medium,8,298.8381,0.7253333333333334,0.246508282484247,3
aMEM_10pct-L_3s,lambda,medium,9,385.3333333333333,0.6953333333333332,0.26670083114481163,3
aMEM_10pct-L_3s,lambda,medium,10,469.1666666666667,0.666,0.2882863160123977,3
aMEM_10pct-L_3s,lambda,medium,11,5.0,0.8089999999999999,0.028284271247461808,2
aMEM_10pct-L_3s,lambda,medium,12,6.5,0.7835000000000001,0.0332340187157678,2
aMEM_10pct-L_3s,lambda,medium,13,8.0,0.7565,0.0417193000900063,2
aMEM_10pct-L_3s,lambda,medium,14,10.0,0.726,0.043840620433565985,2
aMEM_10pct-L_3s,lambda,medium,15,13.0,0.69,0.04666904755831206,2
aMEM_10pct-L_3s,lambda,medium,16,16.0,0.6525,0.05727564927611032,2
aMEM_10pct-L_3s,lambda,medium,17,20.0,0.6145,0.05586143571373734,2
aMEM_10pct-L_3s,lambda,medium,18,25.5,0.569,0.05656854249492373,2
aMEM_10pct-L_3s,lambda,medium,19,31.5,0.5305,0.05868986283848342,2
aMEM_10pct-L_3s,lambda,medium,20,39.5,0.486,0.05656854249492379,2
aMEM_10pct-L_3s,lambda,medium,21,48.5,0.441,0.06646803743153545,2
aMEM_10pct-L_3s,lambda,medium,22,60.5,0.392,0.07353910524340093,2
aMEM_10pct-L_3s,lambda,medium,23,76.75,0.34450000000000003,0.06717514421272205,2
aMEM_10pct-L_3s,lambda,medium,24,98.75,0.2925,0.06293250352560273,2
aMEM_10pct-L_3s,lambda,medium,25,120.75,0.248,0.06505382386916235,2
aMEM_10pct-L_3s,lambda,medium,26,152.75,0.20650000000000002,0.05586143571373726,2
